name,category,price,duration
Eyebrow - Arch,Facial,10.0,00:15:00
Regular,Facial,50.0,00:30:00
Treatment,Hair,65.0,00:45:00
Updo,Hair,75.0,01:00:00
Perm,Hair,85.0,01:00:00
Flat Press,Hair,65.0,01:00:00
Braids - Box (Long),Hair,250.0,04:15:00
Braids - Box (Long),Hair,180.0,02:30:00
Braids - Box (Long),Hair,170.0,03:30:00
Braids - Box (Medium),Hair,170.0,03:00:00
Braids - Box (Medium),Hair,,
Braids - Kids braids (Long),Hair,60.0,01:30:00
Braids - Box (Medium),Hair,,
Braids - Box (Short),Hair,,
Braids - Box (Short),Hair,60.0,02:00:00
Braids - Box (Short),Hair,,
Braids - Man braids (Long),Hair,60.0,02:00:00
Braids - Cornrow (Long),Hair,,
Braids - Cornrow (Long),Hair,,
Braids - Cornrow (Medium),Hair,,
Braids - Cornrow (Medium),Hair,,
Braids - Cornrow (Medium),Hair,,
Braids - Cornrow (Short),Hair,60.0,01:15:00
Braids - Cornrow (Short),Hair,140.0,03:00:00
Braids - Cornrow (Short),Hair,,
Braids - Ropetwist (Long),Hair,,
Braids - Ropetwist (Long),Hair,,
Braids - Ropetwist (Long),Hair,,
Braids - Ropetwist (Medium),Hair,,
Braids - Ropetwist (Medium),Hair,,
Braids - Ropetwist (Medium),Hair,,
Braids - Ropetwist (Short),Hair,180.0,03:00:00
Braids - Ropetwist (Short),Hair,150.0,03:00:00
Braids - Ropetwist (Short),Hair,150.0,02:30:00
Dreads - Palmroll (Long),Hair,,
Dreads - Palmroll (Long),Hair,,
Dreads - Palmroll (Long),Hair,,
Dreads - Palmroll (Medium),Hair,,
Dreads - Palmroll (Medium),Hair,,
Dreads - Palmroll (Medium),Hair,,
Dreads - Palmroll (Short),Hair,85.0,01:30:00
Dreads - Palmroll (Short),Hair,85.0,02:00:00
Dreads - Palmroll (Short),Hair,,
Dreads - Interlock (Long),Hair,,
Dreads - Interlock (Long),Hair,,
Dreads - Interlock (Long),Hair,,
Dreads - Interlock (Medium),Hair,,
Dreads - Interlock (Medium),Hair,,
Dreads - Interlock (Medium),Hair,,
Dreads - Interlock (Short),Hair,95.0,02:30:00
Dreads - Interlock (Short),Hair,95.0,03:00:00
Dreads - Interlock (Short),Hair,,
Treatment,Hair,65.0,00:30:00
Weave - Fullhouse,Hair,180.0,02:00:00
Weave - Leaveout,Hair,170.0,01:45:00
Comb twist (Short),Hair,60.0,02:00:00
Manicure,Nails,40.0,00:30:00
FullSet,Nails,90.0,01:45:00
Fillin,Nails,60.0,01:30:00
Gel - Toes,Nails,30.0,00:30:00
Regular - Toes,Nails,25.0,00:30:00
Gel - Finger,Nails,40.0,00:30:00
Regular,Pedicure,60.0,01:00:00
Gel,Pedicure,70.0,01:15:00
Closure - Regular,Wig,,
Create,Wig,150.0,01:30:00
Finger wave,Hair,65.0,01:30:00
